PrimarySchoolHtgSetpDefault,16.0000017,21.0000017,60,15,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017
PrimarySchoolHtgSetpSummerDesignDay,16,16,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
PrimarySchoolHtgSetpWinterDesignDay,21,21,96,24,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
PrimarySchoolClgSetpDefault,23.9999983,26.99999915,96,24,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915
PrimarySchoolClgSetpSummerDesignDay,24,24,96,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
PrimarySchoolClgSetpWinterDesignDay,27,27,96,24,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
PrimarySchoolBldgEquipDefault,0.35,0.95,36,9,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
PrimarySchoolBldgEquipSummerDesignDay,0.35,0.95,36,9,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
PrimarySchoolBldgEquipWinterDesignDay,0.35,0.35,0,0,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
PrimarySchoolBldgEquipWkdyDay,0.25,0.5,36,9,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
PrimarySchoolBldgEquipWkdyDay1,0.35,0.95,36,9,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
PrimarySchoolBldgLightDefault,0.050000001,0.949999988,40,10,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.300000012,0.300000012,0.300000012,0.300000012,0.850000024,0.850000024,0.850000024,0.850000024,0.949999988,0.949999988,0.949999988,0.949999988,0.949999988,0.949999988,0.949999988,0.949999988,0.949999988,0.949999988,0.949999988,0.949999988,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.699999988,0.699999988,0.699999988,0.699999988,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.300000012,0.300000012,0.300000012,0.300000012,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
PrimarySchoolBldgLightSummerDesignDay,0.050000001,0.949999988,40,10,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.300000012,0.300000012,0.300000012,0.300000012,0.850000024,0.850000024,0.850000024,0.850000024,0.949999988,0.949999988,0.949999988,0.949999988,0.949999988,0.949999988,0.949999988,0.949999988,0.949999988,0.949999988,0.949999988,0.949999988,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.699999988,0.699999988,0.699999988,0.699999988,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.300000012,0.300000012,0.300000012,0.300000012,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
PrimarySchoolBldgLightWinterDesignDay,0.050000001,0.050000001,0,0,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
PrimarySchoolBldgOccDefault,0,0.899999976,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050000001,0.050000001,0.050000001,0.050000001,0.75,0.75,0.75,0.75,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.449999988,0.449999988,0.449999988,0.449999988,0.150000006,0.150000006,0.150000006,0.150000006,0.050000001,0.050000001,0.050000001,0.050000001,0.150000006,0.150000006,0.150000006,0.150000006,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.100000001,0.100000001,0.100000001,0.100000001,0,0,0,0,0,0,0,0
PrimarySchoolBldgOccSummerDesignDay,0,0.899999976,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050000001,0.050000001,0.050000001,0.050000001,0.75,0.75,0.75,0.75,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.449999988,0.449999988,0.449999988,0.449999988,0.150000006,0.150000006,0.150000006,0.150000006,0.050000001,0.050000001,0.050000001,0.050000001,0.150000006,0.150000006,0.150000006,0.150000006,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.100000001,0.100000001,0.100000001,0.100000001,0,0,0,0,0,0,0,0
PrimarySchoolBldgOccWinterDesignDay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrimarySchoolPSZ-ACOperationDefault,0,1,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
PrimarySchoolPSZ-ACOperationSat|Sun|WntrDsnDay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrimarySchoolPSZ-ACOperationSummerDesignDay,0,1,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
PrimarySchoolPSZ-ACOperationWinterDesignDay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrimarySchoolVAVOperationDefault,0,1,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
PrimarySchoolVAVOperationSat|Sun|WntrDsnDay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrimarySchoolVAVOperationSummerDesignDay,0,1,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
PrimarySchoolVAVOperationWinterDesignDay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SchoolPrimaryBLDG_SWH_SCHDefault,0.050000001,0.829999983,28,7,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.100000001,0.100000001,0.100000001,0.100000001,0.340000004,0.340000004,0.340000004,0.340000004,0.600000024,0.600000024,0.600000024,0.600000024,0.629999995,0.629999995,0.629999995,0.629999995,0.720000029,0.720000029,0.720000029,0.720000029,0.790000021,0.790000021,0.790000021,0.790000021,0.829999983,0.829999983,0.829999983,0.829999983,0.610000014,0.610000014,0.610000014,0.610000014,0.649999976,0.649999976,0.649999976,0.649999976,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.189999998,0.189999998,0.189999998,0.189999998,0.25,0.25,0.25,0.25,0.219999999,0.219999999,0.219999999,0.219999999,0.219999999,0.219999999,0.219999999,0.219999999,0.119999997,0.119999997,0.119999997,0.119999997,0.090000004,0.090000004,0.090000004,0.090000004
SchoolPrimaryBLDG_SWH_SCHSummerDesignDay,0.05,0.83,28,7,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.34,0.34,0.34,0.34,0.6,0.6,0.6,0.6,0.63,0.63,0.63,0.63,0.72,0.72,0.72,0.72,0.79,0.79,0.79,0.79,0.83,0.83,0.83,0.83,0.61,0.61,0.61,0.61,0.65,0.65,0.65,0.65,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.19,0.19,0.19,0.19,0.25,0.25,0.25,0.25,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.12,0.12,0.12,0.12,0.09,0.09,0.09,0.09
SchoolPrimaryBLDG_SWH_SCHWinterDesignDay,0.029999999,0.050000001,0,0,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999
